id_calon,ringkasan
1300-00-0000-0010,IK1P Bandung Tamat Tahun 1992
1300-00-0000-0011,SD Tamat Tahun: 1969
1300-00-0000-0011,SLTP Tamat Tahun: 1972
1300-00-0000-0011,SLTA Tamat Tahun: 1975
1300-00-0000-0011,S. 1. (Strata I) Tamat Tahun: 2008
1300-00-0000-0011,S .2. (Strata II) Tamat Tahun: 2012
1300-00-0000-0012,SD Negeri Tiumang - Tamat 1972
1300-00-0000-0012,SMP Negeri Sungai Dareh Tamat 1977
1300-00-0000-0012,SMA Negeri Wonotiung Tamat 1981
1300-00-0000-0012,SI FKIP Univ. Bung Hatta Padang Tamat 1986
1300-00-0000-0012,S2 PPs UNP Tamat 2000
1300-00-0000-0012,S3 PPs UNP Dalam Penyelesaian Program Doktor
1300-00-0000-0014,MIN Ampuan Lumpo tamat tahun 1984
1300-00-0000-0014,SMPN Lumpo tamat tahun 1987
1300-00-0000-0014,SPGN Painan tamat tahun 1990
1300-00-0000-0014,S1 FPOK IKIP Padang tamat tahun 1996
1300-00-0000-0014,S2 Magister Manajemen UNP tamat tahun 2003
1300-00-0000-0014,S2 Magister Hukum UNES Padang tamat tahun 2012
1300-00-0000-0014,FORKOM P1MDA LEMHANAS-RI Tahun 2010
1300-00-0000-0015,SD Negeri No 12 Padang Panjang 1977
1300-00-0000-0015,ST Negeri Padang Panjang 1980
1300-00-0000-0015,STM Negeri Bukittinggi 1983 Jurusan Bangunan
1300-00-0000-0015,Institut Sains dan 1994 Sarjana Teknik Sipil Teknologi Nasional Jakarta Fakultas Teknik Sipil dan
1300-00-0000-0015,Institut Pengembangan Wiraswasta Indonesia Jakarta Jakarta 2007 Sumber Daya Manusia
1300-00-0000-0016,SD Ncgcri Sungai Rumbai
1300-00-0000-0016,SMP Negeri 1 Padang Panjang
1300-00-0000-0016,SMA Ncgcri 1 Bukiltinggi
1300-00-0000-0016,"Politeknik I'l'B, Bandung"
1300-00-0000-0017,"SD Ncgeri 7 Talago Talago, Kec. Guguk, Kab. 50 Kola. Sumalcra Barat 1985"
