id,entity_type,entity_id,sub_districts_id,voice,description
515,Party,19,22,926,Perolehan Suara Partai
516,Party,19,23,692,Perolehan Suara Partai
517,Party,19,24,4100,Perolehan Suara Partai
518,Party,19,25,2086,Perolehan Suara Partai
519,Party,19,26,569,Perolehan Suara Partai
520,Party,19,27,3743,Perolehan Suara Partai
521,Party,19,28,2792,Perolehan Suara Partai
522,Party,20,20,1697,Perolehan Suara Partai
523,Party,20,21,1484,Perolehan Suara Partai
524,Party,20,22,4145,Perolehan Suara Partai
525,Party,20,23,1450,Perolehan Suara Partai
526,Party,20,24,2445,Perolehan Suara Partai
527,Party,20,25,2605,Perolehan Suara Partai
528,Party,20,26,1325,Perolehan Suara Partai
529,Party,20,27,2713,Perolehan Suara Partai
530,Party,20,28,1661,Perolehan Suara Partai
531,Party,21,20,84,Perolehan Suara Partai
532,Party,21,21,131,Perolehan Suara Partai
533,Party,21,22,412,Perolehan Suara Partai
534,Party,21,23,437,Perolehan Suara Partai
535,Party,21,24,228,Perolehan Suara Partai
536,Party,21,25,113,Perolehan Suara Partai
537,Party,21,26,337,Perolehan Suara Partai
538,Party,21,27,361,Perolehan Suara Partai
539,Party,21,28,245,Perolehan Suara Partai
540,Party,22,20,56,Perolehan Suara Partai
541,Party,22,21,27,Perolehan Suara Partai
542,Party,22,22,121,Perolehan Suara Partai
543,Party,22,23,28,Perolehan Suara Partai
544,Party,22,24,39,Perolehan Suara Partai
545,Party,22,25,91,Perolehan Suara Partai
546,Party,22,26,18,Perolehan Suara Partai
547,Party,22,27,40,Perolehan Suara Partai
548,Party,22,28,41,Perolehan Suara Partai
549,Party,23,20,37,Perolehan Suara Partai
550,Party,23,21,25,Perolehan Suara Partai
551,Party,23,22,49,Perolehan Suara Partai
552,Party,23,23,185,Perolehan Suara Partai
553,Party,23,24,55,Perolehan Suara Partai
554,Party,23,25,24,Perolehan Suara Partai
555,Party,23,26,238,Perolehan Suara Partai
556,Party,23,27,63,Perolehan Suara Partai
557,Party,23,28,29,Perolehan Suara Partai
558,Party,24,20,32,Perolehan Suara Partai
559,Party,24,21,42,Perolehan Suara Partai
560,Party,24,22,128,Perolehan Suara Partai
561,Party,24,23,40,Perolehan Suara Partai
562,Party,24,24,91,Perolehan Suara Partai
563,Party,24,25,181,Perolehan Suara Partai
564,Party,24,26,71,Perolehan Suara Partai
565,Party,24,27,119,Perolehan Suara Partai
566,Party,24,28,66,Perolehan Suara Partai
567,Party,1,29,81,Perolehan Suara Partai
568,Party,1,30,105,Perolehan Suara Partai
569,Party,1,31,294,Perolehan Suara Partai
570,Party,2,29,70,Perolehan Suara Partai
571,Party,2,30,180,Perolehan Suara Partai
572,Party,2,31,285,Perolehan Suara Partai
573,Party,3,29,154,Perolehan Suara Partai
574,Party,3,30,492,Perolehan Suara Partai
575,Party,3,31,586,Perolehan Suara Partai
576,Party,4,29,25,Perolehan Suara Partai
577,Party,4,30,75,Perolehan Suara Partai
578,Party,4,31,277,Perolehan Suara Partai
579,Party,5,29,498,Perolehan Suara Partai
580,Party,5,30,726,Perolehan Suara Partai
581,Party,5,31,1485,Perolehan Suara Partai
582,Party,6,29,84,Perolehan Suara Partai
583,Party,6,30,153,Perolehan Suara Partai
584,Party,6,31,262,Perolehan Suara Partai
585,Party,7,29,130,Perolehan Suara Partai
586,Party,7,30,44,Perolehan Suara Partai
587,Party,7,31,510,Perolehan Suara Partai
588,Party,8,29,1112,Perolehan Suara Partai
589,Party,8,30,851,Perolehan Suara Partai
590,Party,8,31,807,Perolehan Suara Partai
591,Party,9,29,2486,Perolehan Suara Partai
592,Party,9,30,8218,Perolehan Suara Partai
